Invoice ID,Branch,City,Customer type,Gender,Product line,Total,Date,Payment
770-42-8960,B,Berlin,Normal,Male,Food and beverages,177.408,2019-01-01,Cash
651-88-7328,A,London,Normal,Female,Fashion accessories,621.243,2019-01-01,Cash
530-90-9855,A,London,Member,Male,Home and lifestyle,399.756,2019-01-01,Cash
182-52-7000,A,London,Member,Female,Sports and travel,113.568,2019-01-01,Ewallet
133-14-7229,C,Warsaw,Normal,Male,Health and beauty,132.02700000000002,2019-01-01,Cash
416-17-9926,A,London,Member,Female,Electronic accessories,779.31,2019-01-01,Credit card
556-97-7101,C,Warsaw,Normal,Female,Electronic accessories,132.762,2019-01-01,Cash
746-04-1077,B,Berlin,Member,Female,Food and beverages,888.615,2019-01-01,Credit card
493-65-6248,C,Warsaw,Member,Female,Sports and travel,388.29,2019-01-01,Credit card
765-26-6951,A,London,Normal,Male,Sports and travel,457.443,2019-01-01,Credit card
271-77-8740,C,Warsaw,Member,Female,Sports and travel,184.086,2019-01-01,Ewallet
891-01-7034,B,Berlin,Normal,Female,Electronic accessories,470.673,2019-01-01,Cash
345-68-9016,C,Warsaw,Member,Female,Sports and travel,266.028,2019-01-02,Credit card
670-71-7306,B,Berlin,Normal,Male,Sports and travel,281.16900000000004,2019-01-02,Credit card
712-39-0363,A,London,Member,Male,Food and beverages,262.458,2019-01-02,Ewallet
504-35-8843,A,London,Normal,Male,Sports and travel,44.5935,2019-01-02,Cash
446-47-6729,C,Warsaw,Normal,Male,Fashion accessories,209.622,2019-01-02,Credit card
244-08-0162,B,Berlin,Normal,Female,Health and beauty,359.205,2019-01-02,Cash
198-84-7132,B,Berlin,Member,Male,Fashion accessories,383.7645,2019-01-02,Cash
744-09-5786,B,Berlin,Normal,Male,Electronic accessories,138.66299999999998,2019-01-02,Cash
749-24-1565,A,London,Normal,Female,Health and beauty,217.6335,2019-01-03,Ewallet
422-29-8786,A,London,Normal,Female,Home and lifestyle,352.2225,2019-01-03,Credit card
249-42-3782,A,London,Normal,Male,Health and beauty,367.5525,2019-01-03,Ewallet
501-61-1753,B,Berlin,Normal,Female,Home and lifestyle,397.845,2019-01-03,Ewallet
343-87-0864,C,Warsaw,Member,Male,Health and beauty,79.67399999999998,2019-01-03,Credit card
875-31-8302,B,Berlin,Normal,Male,Sports and travel,98.049,2019-01-03,Cash
687-15-1097,C,Warsaw,Member,Female,Health and beauty,44.352,2019-01-03,Cash
552-44-5977,B,Berlin,Member,Male,Health and beauty,520.8,2019-01-03,Credit card
672-51-8681,C,Warsaw,Member,Female,Electronic accessories,629.8425,2019-01-04,Credit card
279-74-2924,B,Berlin,Member,Male,Electronic accessories,75.7785,2019-01-04,Cash
132-23-6451,A,London,Member,Male,Health and beauty,110.0925,2019-01-04,Cash
725-32-9708,B,Berlin,Member,Female,Fashion accessories,288.582,2019-01-04,Cash
731-14-2199,A,London,Member,Female,Home and lifestyle,373.17,2019-01-04,Ewallet
656-16-1063,B,Berlin,Normal,Male,Sports and travel,146.22299999999996,2019-01-04,Credit card
433-08-7822,C,Warsaw,Normal,Female,Health and beauty,579.8415,2019-01-05,Ewallet
217-58-1179,A,London,Member,Male,Home and lifestyle,263.13,2019-01-05,Cash
573-98-8548,C,Warsaw,Member,Female,Fashion accessories,33.495,2019-01-05,Ewallet
209-61-0206,A,London,Normal,Female,Home and lifestyle,225.2775,2019-01-05,Ewallet
144-51-6085,A,London,Member,Male,Home and lifestyle,297.108,2019-01-05,Credit card
843-01-4703,B,Berlin,Member,Female,Home and lifestyle,334.341,2019-01-05,Credit card
339-12-4827,B,Berlin,Member,Female,Fashion accessories,77.658,2019-01-05,Credit card
841-18-8232,B,Berlin,Normal,Female,Food and beverages,74.76,2019-01-05,Credit card
750-67-8428,A,London,Member,Female,Health and beauty,548.9715,2019-01-05,Ewallet
628-34-3388,C,Warsaw,Normal,Male,Fashion accessories,172.49400000000003,2019-01-05,Credit card
801-88-0346,C,Warsaw,Normal,Female,Fashion accessories,239.58900000000003,2019-01-05,Credit card
489-82-1237,A,London,Normal,Female,Electronic accessories,690.018,2019-01-05,Credit card
